43,21
41,23
42,22
35,29
47,17
36,28
47,17
47,17
53,11
54,9
27,37
34,30
42,21
38,26
37,27
32,32
52,12
24,40
57,7
37,27
40,24
56,8
48,16
25,39
26,38
49,15
49,15
55,9
45,19
29,35
41,22
25,39
46,18
44,20
42,22
33,31
46,18
59,5
56,8
35,29
58,6
51,13
44,20
48,16
32,32
44,20
44,20
54,10
50,14
48,16
39,25
23,41
50,14
46,18
37,27
53,11
53,11
42,22
18,46
43,21
33,31
46,18
60,4
34,30
53,11
33,31
43,0
42,22
17,47
50,14
45,19
47,17
54,10
31,33
38,26
49,15
27,37
50,14
40,24
47,17
43,21
42,22
46,18
20,44
57,7
56,8
47,17
42,22
28,36
44,20
49,15
34,30
62,2
58,1
53,11
46,18
28,36
49,15
50,14
53,11
